,joe,bool,First,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,NEAR BAY,True,5,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY
1,NEAR BAY,True,5,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY
2,,True,5,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY
3,,True,5,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY
4,,True,5,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY
5,,True,5,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY
6,,True,5,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY
7,,True,5,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY
8,,True,5,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY
9,,True,5,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY
10,,True,5,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY
11,,True,5,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY
12,,True,5,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY
13,,True,5,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY
14,,True,5,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY
15,,True,5,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY
16,,True,5,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY
17,,True,5,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY
18,,True,5,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY
19,,True,5,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY
20,,True,5,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY
21,,True,5,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY
22,,True,5,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY
23,,True,5,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY
24,,True,5,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY
25,,True,5,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY
26,,True,5,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY
27,,True,5,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY
28,,True,5,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY
29,,True,5,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY
30,,True,5,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY
31,,True,5,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY
32,,True,5,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY
33,,True,5,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY
34,,True,5,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY
35,,True,5,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY
36,,True,5,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY
37,,True,5,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY
38,,True,5,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY
39,,True,5,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY
40,,True,5,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY
41,,True,5,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY
42,,True,5,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY
43,,True,5,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY
44,,True,5,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY
45,,True,5,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY
46,,True,5,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY
47,,True,5,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY
48,,True,5,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY
49,,True,5,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY
50,,True,5,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY
51,,True,5,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY
52,,True,5,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY
53,,True,5,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY
54,,True,5,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY
55,,True,5,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY
56,,True,5,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY
57,,True,5,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY
58,,True,5,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY
59,,True,5,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY
60,,True,5,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY
61,,True,5,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY
62,,True,5,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY
63,,True,5,52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,NEAR BAY
64,,True,5,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY
65,,True,5,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY
66,,True,5,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY
67,,True,5,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY
68,,True,5,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY
69,,True,5,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY
70,,True,5,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY
